,final_train_scores,final_train_scores_std,final_val_scores,final_fit_times,final_fit_times_std,final_score_times,final_score_times_std
0,0.9875,0.009375,0.5746599330508311,0.24509663581848146,0.009268990484474509,0.0014312744140625,0.001841719943557126
1,0.8957198443579767,0.006225680933852163,0.6337183878020936,0.45456557273864745,0.003101740825673142,0.0005315303802490235,1.091800911741096e-05
2,0.8851948051948051,0.013386076599194939,0.6330740504247208,0.5193863868713379,0.01238106604611821,0.0005296707153320312,9.352088429650012e-06
3,0.8357976653696498,0.007545027015433948,0.6511038873086821,0.7138697624206543,0.003914543085939495,0.000557708740234375,6.776532146805407e-05
4,0.8245723172628304,0.0069132537390024385,0.6573421566920146,0.9172134399414062,0.012375311806780257,0.0007447242736816406,0.00026442001021229067
5,0.8202334630350194,0.0037231388052937154,0.6536173835645596,0.979829740524292,0.008847644638342702,0.000584554672241211,0.0001005299395519201
6,0.8133333333333332,0.005115939748098381,0.6660358739188483,1.1813480854034424,0.015109468350455967,0.0005396842956542969,1.158881077321135e-05
7,0.7863813229571984,0.018142479730544385,0.6753700586288964,1.1670759201049805,0.24395437498735684,0.0005893230438232422,8.870009413451293e-05
8,0.8060501296456353,0.007895030075484357,0.6815851086472785,1.4420740604400635,0.016979846159184117,0.0027809619903564455,0.0027463998767266514
9,0.8006220839813374,0.004783376827132101,0.6828234747779647,1.6420162677764893,0.017366208277858085,0.00053558349609375,6.170574988582801e-06
